NanoSounds,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1287,-1,-1,-1,-1,-1,-1
NettyPlays,1351,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
NinaSerena,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1445,-1,-1,-1,-1,-1,-1
Osiefish,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,871,-1,-1,-1,-1,-1,-1
PaintingRainbows,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,587,-1,-1,-1
PEARLBYTEZ,-1,-1,-1,-1,-1,-1,-1,-1,-1,705,-1,-1,-1,-1,-1,-1,-1,-1,-1
PearlescentMoon,-1,-1,-1,-1,-1,1691,1496,1379,1972,-1,2226,1930,-1,-1,-1,2595,1324,1713,-1
Pedguin,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1775,-1,-1,-1,-1,-1,-1
Plumbella,-1,-1,456,884,455,-1,766,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Pokimane,-1,-1,-1,-1,-1,-1,-1,-1,-1,676,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quackity,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1572,1162,-1,1365,1186,-1,1900,-1,-1
QuirkyFace,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2509,-1,-1,-1,-1,-1,-1
Rafessor,2313,2120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Ravs,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2415,-1,-1,-1,-1,-1,-1
Rhiannon,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1618,-1,-1,-1,-1,-1,-1
RIPmika,-1,-1,-1,-1,-1,-1,-1,453,699,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Roguskii,-1,-1,-1,-1,-1,-1,-1,-1,-1,640,-1,-1,-1,-1,-1,-1,-1,-1,-1
Ryguyrocky,2470,2822,1759,-1,-1,2320,2477,-1,1939,-1,-1,2116,-1,-1,-1,2602,-1,-1,-1
Rythian,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1114,-1,-1,-1,-1,-1,-1
Seapeekay,-1,2135,2122,2522,2433,2273,2648,2160,2116,-1,2218,2579,-1,2063,2255,2596,2411,2887,-1
Sherlock_Hulmes,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1537,-1,-1,-1,-1,-1,-1
Skeppy,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1402,-1,-1,-1,-1
Smallishbeans,1943,2082,1898,-1,-1,1499,-1,2463,1670,2504,1768,2160,-1,2066,-1,2302,2246,2785,-1
Spifey,-1,-1,-1,-1,-1,-1,-1,-1,1896,-1,-1,1679,-1,-1,-1,1945,-1,1882,-1
SpiffingBrit,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2599,-1,-1,-1,-1,-1,-1
Sqaishey,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1720,-1,-1,-1
SquidGaming,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,692,-1,-1,-1,-1,-1,-1
Steph0sims,-1,-1,390,-1,727,533,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Strawburry17,808,1271,1464,1320,1050,1288,-1,848,1183,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Sylvee,-1,921,1513,-1,1277,1291,1769,1638,1606,1537,1053,-1,-1,1641,1517,-1,1399,2294,-1
TankMatt,1642,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
TapL,-1,-1,-1,-1,-1,-1,-1,2476,2051,2953,2776,2827,-1,-1,2239,3960,3268,2340,-1
TBNRfrags,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2236,2126,-1
Technoblade,-1,3669,2753,4307,2707,2783,3174,2905,3519,3478,3112,-1,-1,-1,-1,3925,-1,-1,-1
TheOrionSound,-1,-1,984,1528,1581,1270,-1,-1,-1,-1,-1,-1,-1,1814,1871,-1,1290,1818,-1
ToxxxicSupport,-1,856,824,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
VapeKit,-1,-1,-1,-1,-1,-1,-1,-1,-1,1471,-1,-1,-1,-1,-1,-1,-1,-1,-1
Vikkstar123,2825,3643,3123,3014,2660,-1,-1,-1,-1,-1,-1,-1,-1,-1,2429,2440,-1,-1,-1
VoiceoverPete,-1,-1,1160,-1,857,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Wahzdah,1599,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Wolv21,1643,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Xephos,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2014,-1,-1,-1,-1,-1,-1
yammy_xox,1484,-1,-1,1582,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Yeetdaisie,-1,-1,-1,-1,-1,-1,-1,-1,-1,819,-1,-1,-1,-1,-1,-1,-1,-1,-1
ZoeyProasheck,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1773,-1,-1,-1,-1,-1,-1
Zylush,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1434,-1,-1,-1,-1,-1,-1
